"id";"age";"sexe";"nivetud";"poids";"occup";"qualif";"freres.soeurs";"clso";"relig";"trav.imp";"trav.satisf";"hard.rock";"lecture.bd";"peche.chasse";"cuisine";"bricol";"cinema";"sport";"heures.tv"
33;49;"Homme";"A arrete ses etudes, avant la derniere annee d'etudes primaires";1339,6196252;"Exerce une profession";;2;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Oui";"Non";"Oui";"Non";"Non";1
35;41;"Femme";"Enseignement technique ou professionnel court";4512,2959026;"Chomeur";"Ouvrier qualifie";2;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";2
36;41;"Femme";"1er cycle";7871,6451978;"Exerce une profession";"Employe";3;"Oui";"Rejet";"Moins important que le reste";"Insatisfaction";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";4
38;19;"Femme";;7626,3300317;"Etudiant, eleve";;1;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";2
41;54;"Femme";"Derniere annee d'etudes primaires";5605,9846219;"Chomeur";"Employe";9;"Non";"Appartenance sans pratique";;;"Non";"Non";"Oui";"Non";"Non";"Oui";"Non";4
44;62;"Femme";;2267,5912103;"Retraite";"Cadre";2;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Non";"Non";"Oui";2
46;77;"Homme";"Derniere annee d'etudes primaires";2446,5111332;"Retraite";"Ouvrier qualifie";0;"Non";"NSP ou NVPR";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";2
51;60;"Homme";"Derniere annee d'etudes primaires";1936,8826314;"Retraite";"Profession intermediaire";2;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";3
54;23;"Femme";"Enseignement superieur y compris technique superieur";11354,893187;"Au foyer";;1;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
57;74;"Femme";"Derniere annee d'etudes primaires";4899,9403801;"Retraite";;2;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
58;60;"Femme";"Enseignement superieur y compris technique superieur";4766,8652013;"Au foyer";"Cadre";3;"Non";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Oui";"Oui";"Oui";2
61;55;"Femme";"Enseignement technique ou professionnel court";833,84283609;"Chomeur";"Employe";1;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Oui";"Non";"Oui";3
63;39;"Homme";"Enseignement technique ou professionnel court";3190,3679798;"Exerce une profession";"Ouvrier qualifie";0;"Oui";"Rejet";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";2
65;54;"Homme";"1er cycle";5945,9929374;"Exerce une profession";"Ouvrier qualifie";2;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Non";4
66;27;"Femme";"Derniere annee d'etudes primaires";14991,865205;"Exerce une profession";"Employe";1;"Non";"Pratiquant occasionnel";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Non";"Oui";"Oui";2
73;59;"Femme";"Enseignement technique ou professionnel court";2348,3780944;"Retraite";"Employe";3;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Oui";"Non";"Oui";3
74;46;"Femme";"Enseignement technique ou professionnel court";3718,8389641;"Exerce une profession";"Employe";1;"Non";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";2
80;51;"Femme";"Enseignement superieur y compris technique superieur";7357,9291503;"Exerce une profession";;4;"Non";"Pratiquant regulier";"Aussi important que le reste";"Satisfaction";"Non";"Oui";"Non";"Non";"Oui";"Oui";"Non";0
83;70;"Femme";"Derniere annee d'etudes primaires";2916,9254013;"Retraite";"Ouvrier qualifie";6;"Non";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
84;79;"Homme";"Enseignement superieur y compris technique superieur";3156,0822439;"Retraite";"Cadre";2;"Oui";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Oui";4
86;34;"Femme";"Enseignement superieur y compris technique superieur";2388,0114193;"Exerce une profession";"Cadre";0;"Non";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Non";"Oui";"Non";0,4
87;72;"Homme";"1er cycle";6590,6384311;"Retraite";"Ouvrier qualifie";7;"Oui";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";4
89;63;"Homme";"2eme cycle";2786,2966187;"Retraite";"Profession intermediaire";1;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Oui";"Oui";"Non";"Non";4
91;48;"Homme";"Enseignement superieur y compris technique superieur";11076,902565;"Exerce une profession";"Cadre";1;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";0,6
92;25;"Femme";"Enseignement superieur y compris technique superieur";2841,471293;"Exerce une profession";"Cadre";1;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";2
93;62;"Homme";"Enseignement technique ou professionnel court";2422,1481886;"Retraite";"Ouvrier qualifie";10;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Oui";"Non";"Non";4
97;43;"Homme";"Enseignement technique ou professionnel court";2064,0848518;"Exerce une profession";"Ouvrier qualifie";6;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Oui";"Non";"Oui";"Oui";"Non";2
100;19;"Femme";;2186,5404129;"Exerce une profession";"Employe";0;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Non";10
101;61;"Femme";"Enseignement technique ou professionnel court";22962,359595;"Retraite";"Cadre";1;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";4
103;54;"Femme";"Enseignement superieur y compris technique superieur";2032,2152459;"Exerce une profession";"Cadre";2;"Oui";"Pratiquant occasionnel";"Le plus important";"Insatisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";2,9
104;31;"Homme";"Derniere annee d'etudes primaires";3173,0247807;"Exerce une profession";"Ouvrier specialise";8;"Non";"Ni croyance ni appartenance";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";3
107;84;"Femme";"Derniere annee d'etudes primaires";12265,608025;"Retire des affaires";;3;"Oui";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Non";"Non";"Oui";4
109;49;"Femme";"Enseignement superieur y compris technique superieur";1114,6495808;"Exerce une profession";"Cadre";1;"Non";"Pratiquant regulier";"Moins important que le reste";"Insatisfaction";"Non";"Oui";"Non";"Oui";"Non";"Oui";"Oui";0,9
112;52;"Homme";"Derniere annee d'etudes primaires";7194,1679264;"Exerce une profession";"Employe";1;"Non";"Appartenance sans pratique";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Oui";0
113;71;"Homme";"Enseignement superieur y compris technique superieur";3437,0885018;"Retraite";"Cadre";1;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Oui";"Non";2
114;56;"Homme";"Enseignement technique ou professionnel long";1131,5935649;"Exerce une profession";"Technicien";2;"Non";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";2
115;58;"Femme";"Enseignement superieur y compris technique superieur";8463,9530279;"Retraite";"Profession intermediaire";0;"Oui";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";1
116;66;"Homme";"Enseignement technique ou professionnel court";15556,258457;"Retire des affaires";;4;"Non";"Pratiquant regulier";;;"Non";"Non";"Oui";"Oui";"Non";"Non";"Non";7
121;35;"Femme";"Enseignement superieur y compris technique superieur";284,16067529;"Exerce une profession";"Profession intermediaire";4;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Oui";0,3
127;55;"Homme";"Derniere annee d'etudes primaires";2954,2741141;"Retraite";"Employe";3;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Oui";"Non";"Non";"Non";"Non";0
130;71;"Homme";"Derniere annee d'etudes primaires";6721,4009251;"Retraite";;5;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";1
131;75;"Femme";"Derniere annee d'etudes primaires";7975,2185686;"Retraite";"Employe";3;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";5
132;36;"Homme";"Enseignement superieur y compris technique superieur";9081,3158825;"Exerce une profession";"Cadre";2;"Non";"Ni croyance ni appartenance";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";1
133;78;"Femme";"Derniere annee d'etudes primaires";10783,410506;"Retire des affaires";;3;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";0
136;81;"Homme";"2eme cycle";7736,5822775;"Retire des affaires";;1;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Oui";3
138;58;"Homme";"Enseignement technique ou professionnel court";7103,5008367;"Exerce une profession";"Profession intermediaire";2;"Non";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
139;37;"Homme";"Enseignement technique ou professionnel court";608,57053352;"Exerce une profession";"Ouvrier qualifie";1;"Oui";"Ni croyance ni appartenance";"Moins important que le reste";"Equilibre";"Non";"Non";"Oui";"Non";"Oui";"Non";"Oui";3
140;49;"Homme";"Enseignement technique ou professionnel court";660,95775681;"Exerce une profession";"Technicien";5;"Non";"Rejet";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";1
141;55;"Homme";"1er cycle";313,64341929;"Exerce une profession";"Ouvrier qualifie";6;"Non";"Appartenance sans pratique";"Aussi important que le reste";"Insatisfaction";"Non";"Non";"Non";"Oui";"Oui";"Non";"Non";4
142;51;"Homme";"1er cycle";9668,3147768;"Exerce une profession";"Ouvrier qualifie";4;"Non";"Appartenance sans pratique";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Oui";3
143;58;"Homme";"Enseignement superieur y compris technique superieur";8222,2734873;"Exerce une profession";"Autre";7;"Non";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";2
145;47;"Homme";"Enseignement superieur y compris technique superieur";4264,9174359;"Exerce une profession";"Profession intermediaire";4;"Non";"Ni croyance ni appartenance";"Peu important";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";3
146;78;"Homme";"Derniere annee d'etudes primaires";5684,0566817;"Retraite";"Ouvrier specialise";4;"Oui";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";5
149;42;"Femme";"Enseignement technique ou professionnel court";615,96303583;"Exerce une profession";"Employe";3;"Oui";"Pratiquant regulier";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Non";"Non";"Oui";2
150;35;"Femme";"2eme cycle";7704,7684006;"Exerce une profession";"Employe";3;"Oui";"Ni croyance ni appartenance";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Non";"Non";1
151;50;"Homme";"Derniere annee d'etudes primaires";566,58164623;"Exerce une profession";"Employe";2;"Non";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";2
154;40;"Femme";"Enseignement technique ou professionnel court";6123,69218;"Exerce une profession";"Autre";3;"Non";"Ni croyance ni appartenance";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";2
156;46;"Homme";"N'a jamais fait d'etudes";1087,8872503;"Autre inactif";;7;"Non";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";5
157;50;"Femme";"Enseignement technique ou professionnel court";3963,1840782;"Exerce une profession";"Employe";7;"Non";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Non";"Non";0
159;73;"Homme";"2eme cycle";2063,1774763;"Retraite";"Employe";5;"Non";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";0
163;43;"Femme";"2eme cycle";8386,7431295;"Exerce une profession";"Cadre";2;"Oui";"Appartenance sans pratique";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Non";0,3
167;51;"Homme";"Enseignement technique ou professionnel long";2246,7632215;"Exerce une profession";"Ouvrier qualifie";7;"Non";"Appartenance sans pratique";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
168;65;"Femme";"2eme cycle";405,10883474;"Au foyer";;3;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";3
169;47;"Femme";"2eme cycle";2295,7490488;"Exerce une profession";"Employe";11;"Non";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";2
170;66;"Femme";"Derniere annee d'etudes primaires";1909,16143;"Retraite";"Employe";1;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";8
172;27;"Femme";"Enseignement superieur y compris technique superieur";3078,1063092;"Exerce une profession";"Employe";3;"Non";"Pratiquant regulier";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Oui";0,3
173;71;"Homme";"A arrete ses etudes, avant la derniere annee d'etudes primaires";6468,7720865;"Retire des affaires";;3;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Oui";"Non";"Non";7
174;38;"Femme";"Enseignement superieur y compris technique superieur";5267,8747672;"Exerce une profession";"Employe";1;"Oui";"Rejet";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";0,4
176;39;"Femme";"Enseignement superieur y compris technique superieur";1645,8687578;"Exerce une profession";"Cadre";3;"Non";"Rejet";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";0,1
177;69;"Homme";"A arrete ses etudes, avant la derniere annee d'etudes primaires";12745,0123;"Retire des affaires";;14;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Oui";2
178;79;"Homme";"Derniere annee d'etudes primaires";8196,6122293;"Retraite";"Ouvrier qualifie";2;"Oui";"Rejet";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";6
181;59;"Homme";"Enseignement technique ou professionnel court";388,1027597;"Autre inactif";"Ouvrier qualifie";3;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";6
183;24;"Femme";"Enseignement superieur y compris technique superieur";15044,278844;"Exerce une profession";"Employe";2;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Insatisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";4
184;54;"Homme";"Enseignement technique ou professionnel court";6648,0400564;"Exerce une profession";;6;"Oui";"Pratiquant occasionnel";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Non";"Non";1
187;60;"Femme";"Enseignement technique ou professionnel court";7118,4658524;"Retraite";"Cadre";4;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";1
188;57;"Femme";"Enseignement technique ou professionnel court";1419,5410591;"Exerce une profession";"Employe";0;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Non";"Non";1
197;54;"Homme";"Enseignement superieur y compris technique superieur";5954,6738433;"Exerce une profession";"Cadre";2;"Non";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";2
199;64;"Homme";"Enseignement technique ou professionnel court";2525,469837;"Retraite";"Cadre";1;"Oui";"Pratiquant occasionnel";;;"Non";"Non";"Oui";"Non";"Oui";"Oui";"Non";2
201;34;"Femme";"Enseignement technique ou professionnel long";8601,0230047;"Exerce une profession";"Employe";7;"Oui";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Non";2
202;38;"Homme";"Enseignement superieur y compris technique superieur";6781,5564311;"Exerce une profession";"Cadre";3;"Non";"Ni croyance ni appartenance";"Moins important que le reste";"Insatisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";4
203;27;"Femme";"Enseignement technique ou professionnel long";6516,5077282;"Exerce une profession";"Employe";3;"Non";"Ni croyance ni appartenance";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";0
206;66;"Homme";"2eme cycle";5802,1476462;"Retraite";"Profession intermediaire";6;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Oui";"Non";"Non";"Non";"Non";2
207;47;"Femme";"Derniere annee d'etudes primaires";2554,5273543;"Exerce une profession";"Ouvrier specialise";6;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";5
209;48;"Homme";"2eme cycle";7323,0153986;"Retraite";"Employe";3;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";1
211;36;"Femme";"Enseignement technique ou professionnel long";3782,0999516;"Exerce une profession";"Employe";1;"Oui";"NSP ou NVPR";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";2
212;68;"Femme";"Derniere annee d'etudes primaires";2644,5195659;"Retraite";"Employe";1;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";2
213;36;"Femme";"2eme cycle";2396,5466741;"Chomeur";"Employe";0;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Oui";"Non";4
214;69;"Femme";"Derniere annee d'etudes primaires";1966,0648985;"Autre inactif";"Employe";4;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";0
215;18;"Homme";;4631,1883707;"Etudiant, eleve";;2;"Oui";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Oui";"Non";"Oui";"Oui";2
216;29;"Femme";"1er cycle";16582,834448;"Chomeur";"Employe";7;"Non";"Rejet";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";2
217;22;"Femme";;8839,3679232;"Etudiant, eleve";;2;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";0
218;74;"Femme";"Derniere annee d'etudes primaires";5780,1997061;"Retraite";"Employe";3;"Non";"Appartenance sans pratique";;;"Non";"Non";"Oui";"Non";"Non";"Non";"Non";2
220;72;"Homme";"A arrete ses etudes, avant la derniere annee d'etudes primaires";3680,2275539;"Retire des affaires";;0;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";0
222;77;"Homme";"Enseignement superieur y compris technique superieur";909,57573487;"Retraite";"Profession intermediaire";2;"Oui";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";0
224;56;"Femme";"1er cycle";1113,0817361;"Exerce une profession";"Employe";5;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Non";"Non";"Non";2
225;52;"Femme";"Enseignement technique ou professionnel court";1649,3474367;"Au foyer";"Ouvrier qualifie";1;"Oui";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";3
226;71;"Femme";"N'a jamais fait d'etudes";1824,2640276;"Retraite";"Ouvrier specialise";15;"Non";"Rejet";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";3
232;43;"Femme";"Enseignement superieur y compris technique superieur";1544,1637093;"Exerce une profession";"Technicien";2;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Oui";0
234;55;"Homme";"Enseignement technique ou professionnel court";663,50864449;"Retraite";"Employe";2;"Non";"Rejet";;;"Non";"Non";"Oui";"Oui";"Non";"Non";"Non";1,4
237;31;"Femme";"Enseignement technique ou professionnel court";953,63156646;"Au foyer";;10;"Non";"Ni croyance ni appartenance";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";3
241;37;"Homme";"Enseignement technique ou professionnel court";10216,948715;"Exerce une profession";"Autre";5;"Non";"Ni croyance ni appartenance";"Aussi important que le reste";"Equilibre";"Non";"Non";"Oui";"Non";"Non";"Non";"Non";2
242;66;"Homme";"Enseignement superieur y compris technique superieur";10886,757405;"Retraite";"Cadre";2;"Non";"Rejet";;;"Non";"Non";"Non";"Non";"Oui";"Oui";"Non";3
243;28;"Femme";;9322,5230663;"Etudiant, eleve";"Autre";1;"Non";"Appartenance sans pratique";;;"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";2
246;72;"Homme";"Derniere annee d'etudes primaires";4433,4817366;"Retire des affaires";;5;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";2
247;72;"Homme";"Enseignement technique ou professionnel court";4865,9245252;"Retraite";"Profession intermediaire";0;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Oui";"Non";"Non";3
248;69;"Femme";"Derniere annee d'etudes primaires";4974,3314836;"Retraite";"Employe";0;"Non";"Pratiquant occasionnel";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";5
254;43;"Homme";"Enseignement technique ou professionnel court";3732,5831252;"Exerce une profession";"Ouvrier qualifie";5;"Non";"Ni croyance ni appartenance";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Oui";"Oui";"Oui";"Non";2
256;19;"Femme";;3298,3787845;"Etudiant, eleve";;3;"Oui";"Pratiquant regulier";;;"Non";"Non";"Non";"Oui";"Non";"Non";"Non";1
259;42;"Femme";"Enseignement superieur y compris technique superieur";3258,3126935;"Exerce une profession";"Employe";2;"Non";"Appartenance sans pratique";"Moins important que le reste";"Satisfaction";"Non";"Non";"Non";"Oui";"Non";"Oui";"Non";2
261;47;"Homme";"Enseignement technique ou professionnel court";6329,2097262;"Exerce une profession";"Ouvrier qualifie";2;"Non";"Appartenance sans pratique";"Moins important que le reste";"Equilibre";"Non";"Non";"Oui";"Non";"Oui";"Oui";"Oui";2
262;21;"Homme";"Enseignement technique ou professionnel court";10519,60681;"Exerce une profession";"Ouvrier qualifie";2;"Non";"Rejet";"Aussi important que le reste";"Satisfaction";"Non";"Non";"Non";"Non";"Non";"Oui";"Non";2
264;44;"Femme";"Enseignement superieur y compris technique superieur";3912,4916324;"Exerce une profession";"Employe";4;"Oui";"Pratiquant occasionnel";"Moins important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Non";"Oui";"Oui";0
266;83;"Femme";"Derniere annee d'etudes primaires";92,68033245;"Au foyer";"Employe";1;"Non";"Pratiquant regulier";;;"Non";"Non";"Non";"Non";"Non";"Non";"Non";1
268;34;"Homme";"Enseignement superieur y compris technique superieur";2377,4851539;"Exerce une profession";"Cadre";1;"Non";"Appartenance sans pratique";"Aussi important que le reste";"Equilibre";"Non";"Non";"Non";"Non";"Oui";"Oui";"Oui";1
269;74;"Homme";"Derniere annee d'etudes primaires";1917,817511;"Retraite";"Ouvrier qualifie";1;"Oui";"Pratiquant occasionnel";;;"Non";"Oui";"Non";"Non";"Oui";"Non";"Non";6
